CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Maruti Swift VDI        8        625000        104000        Diesel        Broker        Manual        First Owner
Hyundai Verna SX Diesel        12        262500        76000        Diesel        Broker        Manual        Third Owner
Hyundai i20 Active 1.2 SX        7        812500        30000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0        14        156250        74000        Petrol        Direct Owner        Manual        First Owner
Maruti SX4 Zxi BSIII        15        218750        33173        Petrol        Broker        Manual        First Owner
Maruti Alto LX BSIII        15        106250        124000        Petrol        Direct Owner        Manual        Second Owner
Hyundai EON Sportz        7        425000        34000        Petrol        Direct Owner        Manual        First Owner
Tata Altroz XZ        3        1037500        14000        Petrol        Direct Owner        Manual        First Owner
Nissan Sunny XL        11        375000        84000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R LXI Minor        16        200000        84000        Petrol        Direct Owner        Manual        Second Owner
Mahindra KUV 100 mFALCON D75 K8 AW        7        437500        94000        Diesel        Direct Owner        Manual        First Owner
Tata Indigo LS        13        312500        100000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 SX CRDi (O)        10        687500        33000        Diesel        Direct Owner        Manual        First Owner
Tata Nexon 1.2 Revotron XM        5        712500        15200        Petrol        Direct Owner        Manual        First Owner
Maruti Ritz LDi        10        362500        144000        Diesel        Direct Owner        Manual        Second Owner
Tata Indica Vista Terra 1.4 TDI        13        125000        84000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi        12        187500        44000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Creta 1.6 CRDi SX        7        668750        56600        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 Nios AMT Magna        3        800000        8000        Petrol        Direct Owner        Automatic        First Owner
Hyundai Verna 1.6 CRDi SX        8        956250        84000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Santro LP zipPlus        20        93750        61000        Petrol        Direct Owner        Manual        First Owner
Hyundai Creta 1.6 CRDi SX        7        1438750        89000        Diesel        Direct Owner        Manual        First Owner
Maruti Ciaz Sigma BSIV        5        1000000        24000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing XK        16        87500        59000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio 2.6 SLX Turbo 7 Seater        18        150000        124000        Diesel        Direct Owner        Manual        Third Owner
Chevrolet Captiva LT        14        625000        134000        Diesel        Direct Owner        Manual        First Owner
Hyundai Elite i20 Magna Plus BSIV        3        681250        11300        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 1.2 Spotz        5        812500        24000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Grand i10 CRDi Asta        8        375000        74000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Era Plus        10        273750        57500        Petrol        Direct Owner        Manual        Third Owner
Maruti Alto K10 VXI        7        437500        44000        Petrol        Direct Owner        Manual        First Owner
Honda Civic 1.8 V AT        16        250000        58000        Petrol        Direct Owner        Automatic        Second Owner
Maruti Ertiga SHVS LDI Option        6        875000        124000        Diesel        Direct Owner        Manual        First Owner
Maruti Wagon R LXI        12        325000        32481        Petrol        Broker        Manual        First Owner
Maruti Alto 800 LXI        4        350000        29880        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R VXI BS IV        7        500000        29000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift 1.3 VXi        17        100000        70508        Petrol        Direct Owner        Manual        Second Owner
Mahindra Bolero Power Plus SLX        4        1075000        39000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        9        231250        44000        Diesel        Direct Owner        Manual        Third Owner
Mahindra XUV500 W8 4WD        11        812500        75042        Diesel        Broker        Manual        First Owner
Hyundai i20 2015-2017 Magna 1.2        8        656250        74378        Petrol        Broker        Manual        First Owner
Mahindra Bolero Power Plus SLX        4        1075000        39000        Diesel        Direct Owner        Manual        First Owner
Tata Indigo CS LS (TDI) BS-III        8        375000        114000        Diesel        Direct Owner        Manual        Second Owner
Tata Indigo Grand Petrol        9        300000        64000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Quanto C6        9        356250        93126        Diesel        Direct Owner        Manual        First Owner
Tata Nano Twist XE        8        125000        27800        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio VLX 2WD AIRBAG BSIV        9        750000        242000        Diesel        Direct Owner        Manual        First Owner
Maruti Wagon R AMT VXI        5        525000        28000        Petrol        Direct Owner        Automatic        First Owner
Hyundai Santro GLS I - Euro I        22        68750        64000        Petrol        Direct Owner        Manual        Third Owner
